FID,the_geom,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags
aws_1day.fid-43fc473f_19185bab7bf_-6294,POINT (4.358 50.797),6447,2004-02-01T00:00:00,1001.73,10.61,11.8,8.61,78.92,3.7,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6293,POINT (4.358 50.797),6447,2004-02-02T00:00:00,1008.38,11.53,12.5,10.36,82.91,2.4,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6292,POINT (4.358 50.797),6447,2004-02-03T00:00:00,1013.46,13.26,15.38,10.46,67.87,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6291,POINT (4.358 50.797),6447,2004-02-04T00:00:00,1013.7,14.45,16.57,12.78,58.84,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6290,POINT (4.358 50.797),6447,2004-02-05T00:00:00,1011.82,13.3,14.58,11.83,73.6,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-628f,POINT (4.358 50.797),6447,2004-02-06T00:00:00,1003.69,12.05,14.63,9.69,77.19,1.8,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-628e,POINT (4.358 50.797),6447,2004-02-07T00:00:00,1001.72,7.74,9.99,5.53,73.09,0.6,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-628d,POINT (4.358 50.797),6447,2004-02-08T00:00:00,1002.72,4.29,6.47,1.41,75.29,5.1,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-628c,POINT (4.358 50.797),6447,2004-02-09T00:00:00,1020.14,2.47,5.58,-1.06,76.09,0.9,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-628b,POINT (4.358 50.797),6447,2004-02-10T00:00:00,1018.24,2.17,5.16,-1.32,80.48,2.3,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-628a,POINT (4.358 50.797),6447,2004-02-11T00:00:00,1013.76,6.99,7.75,4.96,93.42,4.8,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6289,POINT (4.358 50.797),6447,2004-02-12T00:00:00,1020.57,5.71,6.74,3.91,85.9,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6288,POINT (4.358 50.797),6447,2004-02-13T00:00:00,1020.94,6.76,8.6,4.51,88.2,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6287,POINT (4.358 50.797),6447,2004-02-14T00:00:00,1014.63,6.52,8.1,5.23,83.51,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6286,POINT (4.358 50.797),6447,2004-02-15T00:00:00,1013.5,6.21,8.74,4.64,85.87,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6285,POINT (4.358 50.797),6447,2004-02-16T00:00:00,1016.75,4.2,8.37,1.35,89.04,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6284,POINT (4.358 50.797),6447,2004-02-17T00:00:00,1015.79,3.98,5.11,2.75,88.65,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6283,POINT (4.358 50.797),6447,2004-02-18T00:00:00,1012.34,5.34,7.43,3.54,82.36,3.9,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-6282,POINT (4.358 50.797),6447,2004-02-19T00:00:00,1010.9,1.6,3.5,-0.72,74.5,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
